iter	Logloss
0	0.6010920373
1	0.5233801049
2	0.4609629019
3	0.4066537482
4	0.3617055782
5	0.3185035275
6	0.2917205825
7	0.2921119168
8	0.2377311782
9	0.2154064344
10	0.219668338
11	0.2015832468
12	0.1913348676
13	0.1767848802
14	0.1669240563
15	0.1550173388
16	0.1454857691
17	0.1378982276
18	0.130121124
19	0.1233985041
20	0.1177094717
21	0.1121698059
22	0.1080670689
23	0.1034122585
24	0.09861535184
25	0.09555258797
26	0.09269670583
27	0.08879404699
28	028	0.0722147729	29	0.07030026943
30	0.06810355259
31	0.06665201588
32	0.06468077458
33	0.06283219569
34	0.06128917227
35	0.06005116774
36	0.05817760165
37	0.0569894814
38	0.05582371241
39	0.05445673063
40	0.05343332319
41	0.05316904149
42	0.05209325941
43	0.05103059579
44	0.04968788822
45	0.04868245305
46	0.04737832302
47	0.0458300607
48	0.04477169992
49	0.0440228573
50	0.04368165823
51	0.04286756317
52	0.04194210983
53	0.04161830432
54	0.04089794755
55	0.04014056	0.04104672178
57	0.04019081741
58	0.03922640364
59	0.03831361021
60	0.03772456209
61	0.0368205665
62	0.0365105693
63	0.03594689827
64	0.03515301346
65	0.03478903934
66	0.03425935576767	0.03384027786868	0.0334810035669	0.0330976629
70	0.03303804288
71	0.03238637762
72	0.03164842131773	0.03127454106774	0.03109687556775	0.0308392879
76	0.03040532219
77	0.02991031215
78	0.02923389815
79	0.02905321989
80	0.02863792986
81	0.02801809952
82	0.02765696958
83	0.0268318976
84	0.02657945555
85	0.0263511324
86	0.02620635375
87	0.02550226782
88	0.02513167753
89	0.02503591431
90	0.02481745594
91	0.02446443097
92	0.02420949754
93	0.02402313892
94	0.02381253902995	0.02365637757996	0.02358620067997	0.02305033089998	0.02266027125999	0.0225219079
100	0.02236877902
101	0.02203676027
102	0.02162172568103	0.02372169492
104	0.02338606051
105	0.02334518278
106	0.02310330279
107	0.02306688918
108	0.02265006185
109	0.02260790749
110	0.02254277985
111	0.0223001332
112	0.02226756654
113	0.0222257946
114	0.02193375254
115	0.02181199984
116	0.02158956386
117	0.02112365031
118	0.02108480774
119	0.02104412843
120	0.02099462306
121	0.02063455394
122	0.02055925056
123	0.02053177066
124	0.02048366264
125	0.02045363692
126	0.02013026157
127	0.02011158479
128	0.01998455624
129	0.01974887154
130	0.01970433851
131	0.01943580644
132	0.01929931488
133	0.01928144667
134	0.01921247889
135	0.01902775415
136	0.01898242594
137	0.01882414904
138	0.01855768603
139	0.0184937957
140	0.01841239115
141	0.01821290154
142	0.01810697034
143	0.01790299046
144	0.01788371317
145	0.01773953172
146	0.01765605151
147	0.01763058339
148	0.01761828455
149	0.01758202679
150	0.01758052824
151	0.01756604094
152	0.01742042936
153	0.01740638697
154	0.01728783335
155	0.01718337421
156	0.01716661228
157	0.0169877034
158	0.01698350991
159	0.01696737264
160	0.01696273749
161	0.01695769465
162	0.01695771047
163	0.01694583615
164	0.0169411179
165	0.01684078062
166	0.01658381551
167	0.01637021769
168	0.0163391353
169	0.01632317328
170	0.01631994952
171	0.01629680418
172	0.01628531386
173	0.01620392062
174	0.01612611806
175	0.0161217044
176	0.0159635103
177	0.0157055361
178	0.01568573692
179	0.01546058991
180	0.01521648011
181	0.01509418746
182	0.01499123002
183	0.01487174249
184	0.01464221856
185	0.01464213546
186	0.01456995835
187	0.01456228498
188	0.014554287571189	0.014546963861190	0.014515124261191	0.014444438711192	0.014339729851193	0.014259882891194	0.014190874491195	0.0141855996
196	0.01417299441
197	0.01395354447
198	0.01394274145
199	0.013834082162200	0.013790256752201	0.013635276232202	0.013442247832203	0.013317669472204	0.013221618232205	0.01313384697
206	0.01306463128
207	0.01298919428
208	0.01289219214
209	0.0128256809
210	0.0126875316
211	0.0125879827
212	0.01249081447
213	0.01245306061
214	0.01240392069
215	0.01224172659
216	0.0121544552
217	0.01196116472
218	0.01191343465
219	0.01178552057
220	0.01170344342
221	0.01160497344
222	0.01152705607
223	0.01147616556
224	0.01144737998
225	0.01136812783
226	0.01128177438
227	0.01123566566
228	0.01116084329
229	0.01107713993
230	0.01107705288
231	0.01102094391
232	0.01084739139
233	0.01074453162
234	0.01066131433
235	0.01057692696
236	0.01052805757
237	0.01050822987
238	0.01042933127
239	0.01035763164
240	0.01020661402
241	0.01013916237
242	0.01007313916
243	0.01000026874
244	0.009923029505
245	0.009879692086
246	0.009811187994
247	0.009793907379
248	0.009731696892
249	0.009662867925
250	0.009603905055
251	0.00945902254
252	0.009398933403
253	0.009346530897
254	0.009285056844
255	0.009230077093
256	0.009180526445
257	0.009120036518
258	0.00905936561
259	0.009014827372
260	0.008966540779
261	0.008836823261
262	0.008770826728
263	0.008733829689
264	0.008683201128
265	0.008634027771
266	0.008585400325
267	0.008567496934
268	0.008519866436
269	0.008472196023
270	0.00842416929
271	0.008373478593
272	0.008328227345
273	0.008285042189
274	0.008237611183
275	0.008237590738
276	0.008173714651
277	0.008108846794
278	0.008108807882
279	0.008056394479
280	0.008013273296
281	0.007975125474
282	0.007928764447
283	0.007812981884
284	0.007761237768
285	0.007721022657
286	0.007667989528
287	0.007626330689
288	0.007581024887
289	0.0075626276
290	0.007522011295
291	0.007480940323
292	0.007465576265
293	0.007426951727
294	0.007388650102
295	0.007388640209
296	0.007349506263
297	0.007304006736
298	0.0073039731
299	0.007266854031
4
298	0.005693718579
299	0.005670023778
