iter	Passed	Remaining
0	120	3599211	171	25552	2	202	20033	3	232	17204	4	255	15075	5	288	14126	6	310	1297	268	9802
8	298	358	19	3159	382	10	351	9246
11	386	9281
12	413	9127
13	439	8976
14	464	8829
15	491	8716
16	518	8632
17	545	8550
18	569	8420
19	597	8358
20	628	8344
21	650	8217
22	676	8150
23	694	7991
24	718	7902
25	752	7931
26	781	7903
27	810	7869
28	838	7828	29	870	7829	976	8784
30	1020	8854
31	1053	8822
32	1088	8805
33	1107	8667
34	1130	8558
35	1147	8415
36	1165	8285
37	1182	8155
38	1205	8068
39	1225	7964
40	1251	7907
41	1284	7887
42	1315	7864
43	1350	7855
44	1370	7765
45	1384	7642
46	1396	7518
47	1416	7435
48	1433	7342
49	1449	7247
50	1471	7183
51	1492	7118
52	1514	7056
53	1533	6985
54	1548	6899
56	1507	6426
57	1525	6364
58	1546	6316
59	1568	6273
60	1589	6226
61	1606	6168
62	1626	6120
63	1646	6069
64	1666	6026
65	1687	5981
66	167	1743	567	168	1769	568	169	1792	569	170	1816	5857
71	1837	5818
72	1862	5792
73	1882	5749
74	1907	5723
75	1931	5692
76	1952	5655
77	1974	5620
78	1995	5583
79	2018	5549
80	2035	5504
81	2060	5477
82	2079	5436
83	2092	5381
84	2107	5330
85	2121	5278
86	2135	5228
87	2150	5180
88	2165	5134
89	2181	5089
90	2197	5046
91	2210	4998
92	2226	4954
93	2240	4909
94	2254	4865
95	2274	4832
96	2284	4781
97	2299	4739
98	2313	4697
99	2328	4656
100	2351	4633
101	2374	4609
102	2395	4581
103	2412	103	2104	2427	104	2105	2440	105	2424	4437
106	2446	4412
107	2467	4386
108	2491	4365
109	2508	4332
110	2522	4294
111	2533	4253
112	2546	4214
113	2560	4178
114	2577	4146
115	2592	4112
116	2608	4079
117	2623	4046
118	2637	4011
119	2649	3973
120	2660	3935
121	2673	3900
122	2685	3864
123	2697	3829
124	2709	3793
125	2724	3762
126	2739	3731
127	2750	3696
128	2762	3662
129	2775	3629
130	2786	3595
131	2799	3563
132	2811	3530
133	2826	3501
134	2838	3469
135	2852	3439
136	2865	3409
137	2877	3377
138	2890	3348
139	2903	3318
140	2915	3288
141	2929	3259
142	2942	3230
143	2955	3202
144	2968	3173
145	2981	3144
146	2994	3117
147	3009	3090
148	3022	3062
149	3035	3035
150	3050	3009
151	3062	2981
152	3073	2952
153	3086	2925
154	3100	2900
155	3112	2873
156	3125	2846
157	3138	2820
158	3150	2794
159	3164	2768
160	3177	2743
161	3190	2717
162	3200	2690
163	3214	2666
164	3229	2642
165	3241	2616
166	3253	2590
167	3266	2566
168	3281	2544
169	3298	2522
170	3313	2499
171	3326	2475
172	3337	2450
173	3349	2425
174	3362	2401
175	3374	2377
176	3388	2354
177	3402	2331
178	3417	2310
179	3433	2289
180	3448	2267
181	3464	2245
182	3479	2224
183	3493	2202
184	3508	2181
185	3527	2161
186	3544	2141
187	3562	2122
188	3189	3614	189	3190	3634	190	3191	3652	191	3192	3673	192	3193	3690	193	3194	3712	194	3195	3729	195	3196	3744	196	3197	3759	197	3198	3773	198	3199	3789	199	3200	3803	200	3201	3816	201	3202	3829	202	3203	3843	203	3204	3857	204	3205	3876	205	3206	3897	206	3207	3913	207	3208	3928	208	3907	1701
209	3925	1682
210	3211	3979	211	3212	3998	212	3213	4012	213	3214	4028	214	4215	4045	215	4029	1566
216	4048	1548
217	4066	1529
218	4081	1509
219	4099	1490
220	4120	1472
221	4134	1452
222	4148	1432
223	4163	1412
224	4176	1392
225	4196	1374
226	4212	1354
227	4235	1337
228	4251	1318
229	4268	1299
230	4288	1280
231	4306	1262
232	4323	1243
233	4339	1223
234	4354	1204
235	4376	1186
236	4388	1166
237	4403	1147
238	4416	1127
239	4427	1106
240	4438	1086
241	4454	1067
242	4467	1047
243	4477	1027
244	4488	1007
245	4500	987
246	4512	968
247	4525	948
248	4537	929
249	4548	909
250	4559	890
251	4569	870
252	4581	851
253	4593	831
254	4605	812
255	4616	793
256	4628	774
257	4640	755
258	4652	736
259	4664	717
260	4678	699
261	4692	680
262	4707	662
263	4722	643
264	4737	625
265	4752	607
266	267	4809	574
268	4823	268	269	4839	269	270	4851	270	271	4863	271	272	4877	272	273	4890	273	274	4902	274	275	4915	275	276	4926	276	277	4935	277	278	4946	278	279	4957	279	280	4967	280	281	4976	281	282	4983	282	283	4992	283	284	5002	284	285	5010	285	286	5019	286	287	5028	287	5000	208
288	5009	190
289	5018	173
290	5026	155
291	5034	137
292	5042	120
293	5050	103
294	5058	85
295	5066	68
296	5074	51
297	5082	34
298	5087	17
299	5092	0
	4828	0
