iter	RMSE
0	48.87611096
1	48.2847323
2	47.54838565
3	46.84362437
4	46.25004723
5	45.7295038
6	45.03190125
7	44.43400725
8	43.976809
9	43.51295723
10	42.95309525
11	42.42066385
12	41.97788696
13	41.45024166
14	40.84795109
15	40.30439387
16	39.78625559
17	39.25399913
18	38.93282672
19	38.45766097
20	38.12215348
21	37.74514671
22	37.33469691
23	36.91115121
24	36.47660333
25	36.0734959
26	35.74563936
27	35.27797273
28	34.92180112
29	34.6037627
30	34.2131109
31	33.88682643
32	33.45164657
33	33.17528352
34	32.85232497
35	32.57723641
36	32.32514295
37	31.97754666
38	31.5767
39	31.21927604
40	30.84260843
41	30.66653417
42	30.2728649
43	30.07515474
44	29.88892519
45	29.53485135
46	29.27181713
47	28.93596404
48	28.5990449
49	28.45313939
50	28.24979286
51	27.96773427
52	27.8071438
53	27.52442652
54	27.17160943
55	26.90443617
56	26.693485
57	26.40075097
58	26.13134507
59	25.9346007
60	25.76436461
61	25.49395397
62	25.35961615
63	25.11631025
64	24.942144
65	24.776311
66	24.52775109
67	24.21716237
68	24.07811766
69	23.80013862
70	23.69378934
71	23.54036591
72	23.41345159
73	23.16751501
74	23.03835495
75	22.85189469
76	22.62121484
77	22.45642653
78	22.35196101
79	22.23149776
80	22.01834127
81	21.89393632
82	21.73908289
83	21.48756377
84	21.3759124
85	21.20045969
86	21.11682104
87	20.95877168
88	20.84375751
89	20.6385341
90	20.55419265
91	20.43070392
92	20.29159699
93	20.10626801
94	19.88133352
95	19.68252066
96	19.47648898
97	19.29237497
98	19.21960937
99	19.09962364
100	18.92196802
101	18.72795933
102	18.5608561
103	18.47363447
104	18.39919279
105	18.2054397
106	18.01957664
107	17.9162932
108	17.7401654
109	17.55917367
110	17.47168489
111	17.33529981
112	17.25119975
113	17.07801357
114	16.93554831
115	16.76706505
116	16.6984808
117	16.54734481
118	16.41210928
119	16.35333753
120	16.19295647
121	16.031263
122	15.96966894
123	15.9051288
124	15.76481899
125	15.62453294
126	15.56128614
127	15.42055549
128	15.26650514
129	15.12843578
130	15.06737846
131	15.01264058
132	14.96169228
133	14.81510543
134	14.75863848
135	14.63170814
136	14.52698151
137	14.48267431
138	14.35538417
139	14.23032824
140	14.18877881
141	14.15022504
142	14.0215862
143	13.95487702
144	13.82803296
145	13.75250502
146	13.67490735
147	13.60142021
148	13.55104173
149	13.43340077
150	13.36041848
151	13.31402884
152	13.18981134
153	13.0845239
154	12.95562564
155	12.85430498
156	12.76240703
157	12.69600123
158	12.54279429
159	12.45302513
160	12.34620504
161	12.22828794
162	12.12025167
163	11.99161468
164	11.90310903
165	11.81661965
166	11.72952784
167	11.6700367
168	11.58278037
169	11.49221601
170	11.39991885
171	11.30328525
172	11.21305976
173	11.13720122
174	11.04787162
175	10.96182548
176	10.88195595
177	10.80649533
178	10.72906133
179	10.65601812
180	10.58447312
181	10.51785502
182	10.44212754
183	10.37392219
184	10.28980374
185	10.17472867
186	10.10953814
187	9.998926591
188	9.891672204
189	9.827911963
190	9.761852151
191	9.684744442
192	9.580995665
193	9.522465818
194	9.456490553
195	9.393526056
196	9.320811446
197	9.260813134
198	9.211510404
199	9.120904638
200	9.071746389
201	9.006521442
202	8.9428093
203	8.880576528
204	8.834395919
205	8.774052288
206	8.680193474
207	8.621460623
208	8.563684954
209	8.506674703
210	8.42628315
211	8.370625727
212	8.268358886
213	8.169914658
214	8.09967935
215	8.023881056
216	7.972248813
217	7.894295017
218	7.836337645
219	7.780497302
220	7.731207204
221	7.659271811
222	7.590795833
223	7.495558402
224	7.403490123
225	7.346365259
226	7.308230019
227	7.262081831
228	7.210483711
229	7.123231777
230	7.038890449
231	6.927074232
232	6.864021952
233	6.829810407
234	6.758735228
235	6.71334879
236	6.684107131
237	6.63453026
238	6.590676744
239	6.532372527
240	6.50130112
241	6.459482508
242	6.392642739
243	6.351451585
244	6.28792008
245	6.189199079
246	6.114117774
247	6.093128468
248	6.054546837
249	5.963410518
250	5.937000089
251	5.889541459
252	5.836082605
253	5.779001577
254	5.72346175
255	5.671726097
256	5.617590246
257	5.564653896
258	5.512388761
259	5.464862776
260	5.413723045
261	5.364021156
262	5.314277759
263	5.300176824
264	5.259866778
265	5.212610683
266	5.170633832
267	5.135872183
268	5.111083554
269	5.064587289
270	5.031778631
271	4.999491774
272	4.96859249
273	4.936103899
274	4.886154307
275	4.856329197
276	4.825322658
277	4.789047259
278	4.76094573
279	4.713744501
280	4.684586895
281	4.639575067
282	4.606665788
283	4.57917945
284	4.553437588
285	4.521888196
286	4.490136359
287	4.45364044
288	4.427869604
289	4.4138833
290	4.400263578
291	4.365204083
292	4.320954821
293	4.278933285
294	4.254375843
295	4.241380849
296	4.228726796
297	4.216404549
298	4.18680644
299	4.158188949
